"Groups","Appearance","Color","Texture","Taste","Flavour"
"V1",4,4,4,3,5
"V1",3,3,3,3,3
"V1",4,3,4,3,3
"V1",5,4,3,1,2
"V1",2,1,2,2,2
"V1",2,2,3,3,2
"V1",2,3,2,2,3
"V1",2,3,3,2,3
"V1",4,4,4,2,2
"V1",5,3,5,4,5
"V2",3,3,4,3,1
"V2",2,3,3,3,4
"V2",4,4,5,4,4
"V2",4,4,4,4,4
"V2",4,5,3,4,3
"V2",4,3,3,4,4
"V2",3,4,4,3,4
"V2",3,3,4,4,3
"V2",3,4,3,4,4
"V2",3,3,4,4,3
"V3",5,3,4,4,5
"V3",4,3,4,2,4
"V3",5,3,5,4,5
"V3",5,4,5,3,5
"V3",4,3,4,3,4
"V3",5,4,5,3,5
"V3",5,3,5,3,5
"V3",4,3,5,3,5
"V3",5,4,3,2,3
"V3",4,4,4,2,4
"V4",5,4,4,3,4
"V4",4,3,5,3,3
"V4",4,4,4,2,4
"V4",5,3,5,2,5
"V4",5,2,5,2,5
"V4",4,3,4,3,4
"V4",4,3,5,2,4
"V4",5,4,5,2,4
"V4",4,3,4,2,4
"V4",5,3,4,2,5
